FullName,SSN,DOB,Has_Voted
Aurore Canty,103-86-7984,12/12/2008,false
Ali Barff,501-76-4250,12/11/1933,true
Hanna Heam,668-44-4039,12/13/1962,false
Terrence Hotton,359-84-2986,5/20/1977,true
Nonah Sessions,430-65-4218,7/27/1964,true
Tannie Shervil,272-76-1736,11/30/1942,false
Vladamir Hurche,636-63-3445,10/19/1968,false
Kerrie Salvidge,705-73-1509,5/2/1985,false
Justinn Odams,167-03-1092,2/25/1935,true
Wait Frankcomb,434-22-7281,5/8/1942,true
Brigg Fairney,120-02-1717,12/14/1930,false
Cointon Trodden,148-20-4167,3/29/1956,true
Dorris Butler-Bowdon,852-74-2738,2/6/1943,false
Michail MacDonogh,854-18-5952,4/8/1990,true
Moise Harold,360-19-6097,12/19/1992,true
Blondell Bertin,422-10-5804,7/26/1979,false
Katerina Ivens,752-85-9778,2/10/1973,false
Romonda Varnam,827-48-6995,3/25/1972,false
Dalenna China,878-69-6954,6/9/1994,false
Yoshiko Armstrong,758-63-2285,5/16/1984,true
Collie Aleksidze,883-01-8207,11/8/2005,true
Sherrie Sillars,671-27-7959,5/31/1991,true
Uriah Novotne,590-54-1656,1/5/1962,true
Curcio Dunbleton,802-75-1113,6/23/1989,true
Fayre Sammes,729-59-1650,2/22/1947,true
Gunner Featherston,409-53-7899,11/18/1938,true
Bevan Staries,627-65-2562,11/2/2007,false
Jozef Beminster,487-55-3067,1/13/2013,true
Codi Laffin,864-17-0338,1/30/1953,true
Dominique Giacovelli,750-80-2608,2/4/1960,true
Chloe Helstrip,342-62-8413,9/6/2016,true
Persis Treppas,571-15-9001,4/5/1978,true
Rey Wash,694-74-2520,10/20/1967,true
Joe Power,491-42-4943,12/28/1962,false
Saloma Caneo,327-75-0708,6/23/1978,false
Averil Brockwell,373-74-4165,8/14/1941,true
Austine Newarte,490-55-2218,10/27/1935,false
Filmer Ethridge,417-10-8506,5/29/1958,false
Traci Gehring,520-37-3662,9/26/1951,true
Damara Giacometti,815-91-7858,3/19/1946,false
Tammy Cockshut,397-89-6531,11/24/2008,true
Robers Kadd,488-81-0264,8/12/2005,true
Edvard Hails,169-83-7366,11/11/2014,true
Mycah Danielovitch,798-55-7812,6/4/1939,true
Renault Jessett,301-53-9720,10/19/1987,true
Tawsha Fosh,871-98-6012,3/10/2009,false
Pall Yaldren,797-16-2409,7/15/1967,false
Faydra Litchfield,642-08-1866,5/14/1982,false
Therine Sherratt,846-26-2252,7/28/1964,true
Luci Bischop,308-06-6158,1/4/1936,true
Wyatan Vassel,267-80-9534,1/28/2016,true
Helen-elizabeth Wildin,351-76-1459,10/8/1985,false
Jeanne Tribell,601-97-0878,2/17/1998,true
Sharron Speek,746-98-4711,7/3/1934,true
Carita Herrema,785-84-0622,3/5/2009,false
Aloin Spollen,664-03-7605,12/31/1944,false
Jdavie Nani,399-97-6692,2/17/1981,true
Rusty Eardley,330-14-5111,6/24/1979,true
Tatiana Lowater,338-75-8567,8/19/1952,true
Pennie Bewsey,136-95-3118,7/13/1939,true
Harri Galey,861-11-4043,11/4/1978,true
Merwin Sarfatti,574-11-2724,1/20/1939,false
Sauncho Clemerson,289-13-3836,10/13/1965,true
Hamlin Verlander,705-85-5907,8/16/1981,false
Urbano Rushsorth,365-35-8019,6/23/2010,true
Lionello Fluger,188-09-5280,4/10/1951,true
Neilla Maly,259-24-0370,5/25/1977,false
Rustin Garmons,197-97-6750,3/28/1945,true
Mariska Pischel,439-74-3503,3/3/1968,true
Delores Mutlow,438-14-5319,6/15/1982,false
Ade Bruggen,271-61-6406,7/14/1970,false
Gavan Threlfall,689-57-9695,12/22/1941,false
Almeria Prantoni,206-50-9661,5/12/1991,true
Minnaminnie Challace,730-31-6938,5/8/2003,true
Wendel De Caroli,533-87-2651,11/5/2001,false
Bentley Schwandermann,212-94-5850,3/9/1951,true
Ricca Kilvington,435-93-3626,2/17/1934,false
Brose Pennoni,437-25-8678,4/10/1985,true
Viviyan Beggi,163-80-7795,12/1/1956,true
Noell Thouless,604-21-3869,6/3/1955,false
Yurik Purvis,322-55-4982,7/25/2008,true
Lexy Kitchiner,304-60-5586,6/12/1932,true
Jasmin Potkin,803-62-9693,7/6/1964,true
Yale Blanko,177-19-0640,9/29/1948,true
L;urette Keay,202-51-2247,12/29/1961,false
Brittany Piner,142-53-6307,10/23/2017,false
Valentine Eallis,596-49-0257,11/7/2017,true
Leupold Balchin,329-48-1775,8/3/1976,true
Kaylil Deem,782-64-6313,1/5/1953,false
Moll Handscombe,823-99-9268,5/2/2005,true
